name,n,d,seed,time,ticks,sol_nodes,gap,time_lim,edges,cnnct_cmp,avg_clust,std_dev_clust
rrg_0205,500,3,1,1800.87,888523.15,"408.0
",0.1426484192315439,True,5000,1,0.03521052631578947,0.013283505694872359
rrg_0206,500,3,2,1800.63,899109.35,"409.0
",0.14349025087074258,True,5000,1,0.03618947368421053,0.012909898712404484
rrg_0207,500,3,3,1800.01,872473.82,"411.0
",0.14710514499134233,True,5000,1,0.037136842105263156,0.012610579035123963
rrg_0208,500,3,4,1800.79,892593.07,"407.0
",0.14233528671268023,True,5000,1,0.0358421052631579,0.013224986843407832
rrg_0209,500,3,5,1801.01,917931.48,"409.0
",0.14702866271940984,True,5000,1,0.034326315789473684,0.01293229332045619
rrg_0210,500,4,1,1.52,557.10,"86.0
",0.0,False,1500,1,0.28248275862068967,0.016956356745669306
rrg_0211,500,4,2,1.47,530.22,"86.0
",0.0,False,1500,1,0.2891034482758621,0.015325318003609105
rrg_0212,500,4,3,1.84,718.07,"87.0
",0.0,False,1500,1,0.2873103448275862,0.01529031170119407
rrg_0213,500,4,4,1.97,672.12,"87.0
",0.0,False,1500,1,0.28717241379310343,0.016563469651192722
rrg_0214,500,4,5,1.62,579.34,"87.0
",0.0,False,1500,1,0.2924827586206897,0.015833240502888264
rrg_0215,500,5,1,51.78,23058.07,"129.0
",0.0,False,2250,1,0.1899310344827586,0.015970356120918815
rrg_0216,500,5,2,45.90,20547.68,"128.0
",0.0,False,2250,1,0.18983908045977013,0.01540577532676527
rrg_0217,500,5,3,57.96,25183.33,"129.0
",0.0,False,2250,1,0.1890574712643678,0.0150434083667458
rrg_0218,500,5,4,36.87,16382.29,"128.0
",0.0,False,2250,1,0.19108045977011495,0.014220504586463121
rrg_0219,500,5,5,47.33,20869.69,"129.0
",0.0,False,2250,1,0.1960919540229885,0.014394916969612202
rrg_0220,500,7,1,1800.01,779319.33,"171.0
",0.020383423540046998,True,3000,1,0.1390344827586207,0.013299521138678874
rrg_0221,500,7,2,1800.01,801197.27,"172.0
",0.023879564797275658,True,3000,1,0.14420689655172414,0.014755164847659142
rrg_0222,500,7,3,1800.00,774906.04,"173.0
",0.03490386509316898,True,3000,1,0.14482758620689654,0.015326628322559344
rrg_0223,500,7,4,1802.11,883245.19,"172.0
",0.028668805132300145,True,3000,1,0.14272413793103447,0.014672678298105231
rrg_0224,500,7,5,1801.67,772311.02,"172.0
",0.028585271317811464,True,3000,1,0.14296551724137932,0.013497581292700992
rrg_0225,500,10,1,1801.78,900239.75,"215.0
",0.06457431261002705,True,3750,1,0.11478620689655174,0.013895287393878854
rrg_0226,500,10,2,1801.72,895031.84,"214.0
",0.06117430053801844,True,3750,1,0.11260689655172414,0.013987848188627075
rrg_0227,500,10,3,1800.00,712417.33,"215.0
",0.07080608688325296,True,3750,1,0.11111724137931034,0.0115417647923701
rrg_0228,500,10,4,1800.55,821807.79,"215.0
",0.0658224998682115,True,3750,1,0.11437241379310345,0.014065226758874902
rrg_0229,500,10,5,1801.87,921836.14,"216.0
",0.06960113704066626,True,3750,1,0.11291034482758622,0.014136443992443305
rrg_0230,500,20,1,1801.18,886541.98,"258.0
",0.09055940642777958,True,4500,1,0.09487356321839081,0.012050253693751128
rrg_0231,500,20,2,1801.24,882607.75,"259.0
",0.09483193688612274,True,4500,1,0.09632183908045976,0.012977820851744776
rrg_0232,500,20,3,1801.17,874101.24,"257.0
",0.08840068985813841,True,4500,1,0.09432183908045977,0.012889105286997566
rrg_0233,500,20,4,1801.02,907157.68,"257.0
",0.08602550320602803,True,4500,1,0.09618390804597703,0.013767741689704275
rrg_0234,500,20,5,1800.95,884034.62,"256.0
",0.08356285576963085,True,4500,1,0.09448275862068965,0.012521879385192019
rrg_0235,500,30,1,1800.00,860703.89,"430.0
",0.14648667303054452,True,7500,1,0.05664827586206897,0.0100441188212816
rrg_0236,500,30,2,1800.01,874711.35,"432.0
",0.14988126274153485,True,7500,1,0.056868965517241375,0.010459481112592013
rrg_0237,500,30,3,1800.01,867774.58,"433.0
",0.15242102072433186,True,7500,1,0.057296551724137924,0.010123879019938851
rrg_0238,500,30,4,1800.00,848241.91,"433.0
",0.1558398720822161,True,7500,1,0.057117241379310346,0.010169727289903634
rrg_0239,500,30,5,1800.01,875464.68,"429.0
",0.14476215087600175,True,7500,1,0.054786206896551726,0.010586643943703395
